id_ciudades,nombre,latitud,longitud
1,Azuay,-2.899126,-78.999509
2,Bolívar ,-1.589466,-78.999682
4,Carchi ,0.818076,-77.712178
5,Cotopaxi,-0.932586,-78.606665
6,Chimborazo,-1.665567,-78.656252
7,El Oro,-3.254802,-79.958613
9,Guayas ,-2.142888,-79.905765
10,Imbabura,0.349972,-78.115873
12,Los Ríos ,-1.804034,-79.533721
13,Manabí ,-1.02372,-80.372424
14,Morona Santiago ,-2.296642,-78.107513
15,Napo,-0.994384,-77.812901
16,Pastaza,-1.489252,-77.998596
17,Pichincha,-0.163935,-78.47175
18,Tungurahua ,-1.250279,-78.623851
19,Zamora Chinchipe ,-4.066308,-78.953462
20,Galápagos ,-0.90214,-89.61094
22,Orellana ,-0.441122,-76.995149
23,Santo Domingo De Los Tsáchilas ,-0.248736,-79.168685
24,Santa Elena ,-2.225094,-80.860727
25,Quito ,-0.190714,-78.489603
27,Cuenca,-2.897926,-79.004659
29,Gualaceo,-2.887308,-78.777417
31,Camilo Ponce Enriquez,-3.061026,-79.745792
33,San Luis de Pambil ,-1.21635,-79.239744
34,Chillanes ,-1.942856,-79.066179
35,San José de Chimbo ,-1.685,-79.024615
38,Caluma ,-1.631249,-79.258869
39,Azogues ,-2.7391,-78.845616
40,Bíblian ,-2.744676,-78.843907
42,La Troncal ,-2.420563,-79.343476
44,El Tambo ,-2.514595,-78.926028
45,Tulcán ,0.8149,-77.716384
46,Julio Andrade ,0.662941,-77.715933
48,El Angel,0.618291,-77.941561
51,Huaca,0.626788,-77.728829
52,Latacunga ,-0.933875,-78.616117
59,Licán ,-1.652189,-78.707053
60,Alausí,-2.202842,-78.844789
65,Cumandá,-2.206441,-79.134959
66,Machala ,-3.258311,-79.958314
67,Arenillas ,-3.552947,-80.068525
68,Balsas,-3.761508,-79.823876
70,Barbones,-3.190136,-79.855124
71,Huaquillas,-3.475423,-80.222664
73,Buenavista,-3.361956,-79.843461
74,Piñas,-3.680588,-79.682367
76,Santa Rosa ,-3.454264,-79.96356
77,Zaruma,-3.689528,-79.613928
79,Valdez ,1.249693,-78.987241
80,Muisne,0.610547,-80.019108
82,Malimpia,0.417646,-79.418167
85,Atacames ,0.870046,-79.848843
87,Tonsupa,0.888187,-79.810098
90,Posorja,-2.707044,-80.246772
91,Puná,-2.854841,-80.138857
92,Alfredo Baquerizo Moreno,-1.891447,-79.556531
93,Balao,-2.910962,-79.81552
95,Colimes,-1.546998,-80.009638
97,Durán ,-2.161269,-79.823378
98,El Empalme,-1.048532,-79.608207
99,El Triunfo,-2.328822,-79.403882
101,Naranjal,-2.675135,-79.620343
102,Naranjito,-2.173303,-79.465586
104,Pedro Carbo,-1.814629,-80.232382
105,Samborondón ,-1.960962,-79.724912
106,Tarifa,-1.977567,-79.754476
107,Salitre,-1.831124,-79.817041
108,Virgen de Fátima,-2.249196,-79.640776
111,Narcisa de Jesus,-1.914933,-80.012121
112,Isidro Ayora,-1.879989,-80.144845
117,San Francisco de Natabuela,0.338841,-78.193175
120,Imantag,0.299298,-78.266944
122,Peguche,0.23027,-78.263159
124,San Juan de Iluman ,0.33535,-78.522913
126,Pimanpiro,0.391677,-77.938969
127,Urcuqui,0.419452,-78.194361
129,Cariamanga,-4.325785,-79.55226
131,Celica,-4.103925,-79.955756
132,Macara,-4.381051,-79.940104
136,Febres Cordero,-1.950112,-79.300137
139,San Juan ,-1.628534,-79.562085
140,Quevedo,-1.026075,-79.46108
143,Ventanas,-1.441818,-79.460864
144,Zapotal,-1.447259,-79.461474
145,Vinces,-1.552292,-79.750082
146,Palenque,-1.43228,-79.752428
148,Valencia,-0.951931,-79.357277
149,Quinsaloma,-1.208041,-79.316198
150,Portoviejo,-1.054789,-80.456482
151,Crucita,-0.864364,-80.535604
152,Chone,-0.702871,-80.089898
153,El Carmen,-0.272557,-79.461507
154,Flavio Alfaro,-0.405564,-79.906585
155,Jipijapa,-1.348113,-80.57792
156,Junín,-0.926747,-80.206786
157,Manta,-0.959286,-80.704298
158,Montecristi,-1.043493,-80.658059
159,Rocafuerte,-0.922754,-80.451076
161,Bahía de Caráquez,-0.614381,-80.424882
162,Charapotó,-0.837479,-80.488222
163,Sucre,-1.278388,-80.418009
164,Pedernales,0.076127,-80.05141
165,Machalilla,-1.479716,-80.768678
166,Jaramijó,-0.948312,-80.63877
167,Macas,-2.302302,-78.117995
168,Sevilla Don Bosco,-2.316068,-78.100401
169,Gualaquiza,-3.400116,-78.578768
170,General Leonidas Plaza,-2.965004,-78.429092
171,Palora,-1.700101,-77.964412
172,Santiago de Méndez,-2.717329,-78.319418
173,Sucúa,-2.45776,-78.169837
174,Tena,-0.994322,-77.812805
175,Archidona,-0.909657,-77.806513
176,El Chaco,-0.336836,-77.808919
177,Puyo,-1.486518,-78.002802
178,Shell,-1.498054,-78.06248
180,Alangasí,-0.303625,-78.412654
182,Calderón,-0.094742,-78.421247
184,Cumbayá,-0.20587,-78.432884
185,El Quinche,-0.10949,-78.297702
186,Guayllabamba,-0.058274,-78.347152
189,Pomasqui,-0.042931,-78.455423
193,Machachi,-0.511028,-78.566275
195,Cutuglagua,-0.281242,-78.534259
196,Tabacundo,0.04055,-78.202641
197,Malchinguí,0.049038,-78.346529
198,Sangolquí,-0.331502,-78.448276
203,San Bartolomé de Pinllo,-1.251506,-78.617002
204,Baños de Agua Santa,-1.396377,-78.424534
207,Zamora    ,-4.064531,-78.950215
208,Guayzimi,-4.046849,-78.680963
211,Zumbi,-3.89373,-78.780259
212,Paquisha,-3.932323,-78.674553
213,Puerto Baquerizo Moreno,-0.90494,-89.610533
214,Puerto Ayora,-0.738143,-90.314103
217,Lumbaquí,0.047892,-77.328185
218,Puerto el Carmen,0.119844,-75.863062
223,Loreto,-0.690651,-77.310337
227,Santa Elena  ,-2.226519,-80.859839
231,Manglar Alto,-1.84967,-80.745851
232,San José de Ancón,-2.319501,-80.855378
235,Aconcito,-2.317502,-80.88865
237,Baños   ,-2.923379,-79.06561
238,Checa,-2.805044,-78.992894
239,Llacao,-2.839163,-78.941461
240,Nulti,-2.916672,-78.849955
245,Sidcay,-2.859018,-78.93735
246,Sinincay,-2.850576,-79.014879
247,Tarqui,-2.896323,-79.007377
248,Valle,-2.937115,-78.965788
249,Zhidmad,-2.929705,-78.898324
250,Nabón,-3.33639,-79.06338
252,SANTA ISABEL,-3.274609,-79.314208
253,Cuchil,-3.078683,-78.799567
254,San Bartolomé  ,-3,-78.8333
255,Principal,-3.01667,-78.7333
256,Sevilla de Oro,-2.800665,-78.652013
258,Facundo Vela,-1.196938,-79.055871
259,Julio moreno,-1.6,-79.0333
262,San Simón,-1.65,-78.9833
263,Santa Fé,-1.61667,-79
264,Simiátug,-1.296941,-78.915144
265,San Luís de Pambil,-1.234307,-79.238617
266,Chillanes,-1.942991,-79.065894
267,San José del Tambo,-1.93333,-79.1833
268,San José de Chimbo,-1.685043,-79.024304
269,Asunción ,-1.65,-79.0333
270,San Sebastián ,-1.743518,-79.029949
271,Telimbela,-1.65,-79.1667
274,Balsapamba,-1.766886,-79.176284
275,Regulo de Mora,-1.878637,-79.188215
277,Santiago   ,-1.700076,-79.000219
278,Caluma,-1.63145,-79.258869
279,Las Naves,-1.284511,-79.31452
280,Azogues,-2.739767,-78.84655
281,Cojitambo,-2.737631,-78.84172
282,Guapán ,-2.697513,-78.851733
283,Chuquipata,-2.799314,-78.870309
284,Luís Cordero,-2.73333,-78.8
285,Rivera,-2.58333,-78.65
287,Taday,-2.641086,-78.690384
288,Biblián ,-2.713127,-78.889197
289,Nazón,-2.702701,-78.909613
290,Turupamba,-2.726729,-78.91253
291,Cañar,-2.560135,-78.938708
292,Chorocopte,-2.580083,-78.949636
293,Gualleturo,-2.46667,-79.1167
294,Honorato Vasquez,-2.53333,-78.9167
295,Ingapirca,-2.54494,-78.876024
296,Juncal,-2.482715,-78.985493
297,Shud,-2.461603,-79.005792
298,Ventura,-2.246543,-79.125769
299,Ducur,-2.462173,-79.114932
300,Manuel J. Calle,-2.356584,-79.399647
302,El Tambo,-2.5107,-78.927037
303,Déleg,-2.788416,-78.926213
304,Solano,-2.78333,-78.9167
305,Suscal,-2.436224,-79.052054
306,Tulcán,0.81415,-77.716031
307,El Carmelo,0.666667,-77.6333
308,Julio Andrade,0.660294,-77.717998
309,Pioter,0.65,-77.7833
310,Tufiño,0.800574,-77.855121
311,Urbina,0.816667,-77.6667
312,El Chical,1.03333,-78.2333
315,Los Andes ,0.496698,-77.937866
316,Monte Olivo,0.391059,-77.85851
317,San Rafael ,0.416667,-77.9167
318,El Ángel ,0.622864,-77.940352
321,Concepción ,0.605708,-78.127583
322,Jijon y Caamaño,0.771771,-78.26463
324,Cristóbal Colón ,0.604201,-77.811207
325,Fernandez Salvador,0.6,-77.7667
327,Piartal,0.595206,-77.828656
328,Mariscal Sucre,-0.213006,-78.51042
329,Latacunga,-0.946352,-78.610599
330,Aláquez,-0.86535,-78.59595
331,Velisario Quevedo,-0.98583,-78.582705
332,Guaitacama,-0.820883,-78.641113
333,Mulalo,-0.90977,-78.628487
334,Poaló,-0.883333,-78.6667
335,San Juan de Pastocalle,-0.727658,-78.634475
336,Tanicuchí,-0.782465,-78.64606
337,Toacaso,-0.756769,-78.687322
339,Guasaganda,-0.796068,-79.158518
340,El Corazón,-1.118746,-79.161744
341,Moraspungo,-1.18333,-79.2
343,Angamarca,-1.118661,-78.927006
344,Guangaje,-0.866667,-78.8333
345,Tingo,-0.90053,-79.050329
346,Zumbahua,-0.959142,-78.898746
348,Cusubamba,-1.083034,-78.63316
349,Mulalillo,-1.095233,-78.62682
352,Canchagua,-0.803741,-78.668517
353,Sigchos,-0.697829,-78.881965
354,Chugchillan,-0.797769,-78.917763
355,Isinliví,-0.701232,-78.886889
357,Calpi,-1.677459,-78.663537
358,Cubijies,-1.65,-78.5833
359,Lican ,-1.650558,-78.708844
360,Licto,-1.672358,-78.663034
361,Pungala,-1.81667,-78.5667
362,Punín,-1.76667,-78.65
363,San Juan    ,-1.63333,-78.7833
364,San Luis ,-1.7,-78.65
365,Alausi,-2.198635,-78.84675
366,Achupallas,-2.26667,-78.7333
367,Huigra,-2.28333,-78.9833
368,Sibambe,-2.2,-78.8833
369,Tixan,-2.13333,-78.8
371,Columbe,-1.88784,-78.723342
372,Juan de Velasco,-1.817322,-78.866671
373,Santiago de Quito,-1.74548,-78.747797
374,Chambo,-1.73333,-78.5833
376,Guamote,-1.934787,-78.709157
377,Cebadas,-1.9,-78.6167
378,Palmira,-2.08333,-78.7167
381,San Isidro de Patulú,-1.58333,-78.6833
383,El Altar,-1.51667,-78.5
385,Machala,-3.260824,-79.955377
386,Arenillas,-3.55,-80.0667
388,Chilla ,-3.456103,-79.577927
390,Río Bonito,-3.214308,-79.81732
392,Casacay,-3.33333,-79.7667
395,Torata,-3.58333,-79.8833
396,Arcapamba,-3.648335,-79.617184
397,Sinsao,-3.664668,-79.586987
398,CRNEL. CARLOS C. TORRES ,0.974843,-79.624293
399,Majua,0.7,-79.5333
400,Tachina,0.95,-79.6167
401,Borbon,1.08833,-78.9889
402,Maldonado,1.07056,-78.9081
403,Telembí,0.8,-78.9333
405,San Gregorio,0.55,-79.9667
407,Cube,0.583333,-79.6333
408,Chura,0.6,-79.4833
411,5 de Junio,0.95,-78.7833
412,Atacames,0.867868,-79.846457
414,Chumundé,0.833333,-79.4167
418,Jujan,-1.892037,-79.55565
421,Los Tintos,-1.98333,-79.7333
422,Los Lojas,-2,-79.9333
423,Velasco Ibarra,-1.044373,-79.637447
424,El Rosario,-1.051508,-79.812911
426,Roberto Astudillo,-2.182018,-79.517048
427,Santa Rosa de Flandes,-2.638316,-79.645867
429,Valle de la Virgen,-1.740068,-80.196161
430,Santa Lucía,-1.71449,-79.985782
431,El Salitre,-1.82988,-79.817793
432,Junquillal,-1.71667,-79.8667
433,Boliche,-2.26667,-79.6333
435,CRNEL. MARCELINO MARIDUEÑA,-2.214044,-79.439918
438,Carolina,0.783333,-78.3
439,Lita,0.870051,-78.458948
445,Peñaherrera,0.35,-78.5333
446,Cuellaje,0.4,-78.5167
448,Eugenio Espejo ,0.216667,-78.25
451,Pimampiro,0.391061,-77.939829
452,Mariano Acosta,0.3,-77.9833
453,Buenos Aires,0.633333,-78.3
454,San Blas,0.416667,-78.2167
455,Loja,-4.000784,-79.201522
456,Chantaco,-3.88333,-79.3333
457,Gualel,-3.78333,-79.3833
458,Malacatos,-4.218834,-79.260236
459,San Lucas,-3.747675,-79.26522
460,Taquil,-3.91667,-79.2833
461,Quinara,-4.319803,-79.234609
462,Utuana,-4.38333,-79.7
464,San Pedro de la Vendita,-3.93333,-79.4167
465,Pózul,-4.12139,-80.054355
466,Gonzanamá,-4.229947,-79.434902
467,Changaimina,-4.21667,-79.5167
468,Nambacola,-4.140787,-79.428673
469,Sacapalca,-4.154712,-79.518371
470,Macará,-4.385177,-79.943201
471,Larama,-4.26667,-79.9
472,Sabiango,-4.36667,-79.8
475,El Paraíso de Celen ,-3.6,-79.3333
476,Manu  ,-3.5,-79.4167
477,Selva Alegre,-3.55,-79.35
478,Sozoranga,-4.328148,-79.791155
480,Febres Cordero                                                                        ,-1.95024,-79.299957
481,PIMOCHA ,-1.833974,-79.600061
482,BABA ,-1.783091,-79.68019
483,GUARE ,-1.672569,-79.705307
484,ISLA DE BEJUCAL ,-1.677257,-79.643154
485,MONTALVO ,-1.788182,-79.287436
486,PUERTO PECHICHE ,-1.425855,-79.55838
487,QUEVEDO ,-1.022757,-79.460484
488,LA ESPERANZA ,-0.965381,-79.421492
489,RICAURTE ,-1.567121,-79.476149
490,ZAPOTAL ,-1.419179,-79.470383
491,VINCES ,-1.554417,-79.762446
492,ANTONIO SOTOMAYOR,-1.640258,-79.801748
493,PALENQUE ,-1.43183,-79.754437
495,VALENCIA ,-0.952033,-79.355621
496,MOCACHE ,-1.419253,-79.470403
497,QUINSALOMA ,-1.205642,-79.313723
498,PORTOVIEJO ,-1.055623,-80.452838
499,PUEBLO NUEVO ,-0.970713,-80.296047
500,SAN PLACIDO ,-1.065927,-80.240151
501,QUIROGA ,-1.058129,-80.448763
502,CHONE ,-1.060959,-80.47014
503,CHIBUNGA ,-0.29114,-80.002591
504,EL CARMEN ,-0.272383,-79.465742
505,SAN PEDRO DE SUMA ,-0.219863,-79.541822
506,JIPIJAPA ,-1.352874,-80.584055
507,JULCUY ,-1.474894,-80.624684
508,JUNIN ,-0.92824,-80.205882
509,LA PILA ,-1.106503,-80.58476
510,CASCOL ,-1.66667,-80.4667
511,PICHINCHA ,-1.046464,-79.823298
512,ROCAFUERTE ,-0.923131,-80.452278
513,SANTA ANA DE VUELTA LARGA ,-1.206476,-80.368982
514,LA UNION ,-0.285319,-79.7997
516,ANGEL PEDRO GILER,-0.786785,-80.235816
517,NOBOA ,-1.410275,-80.382519
518,COJIMIES ,0.364392,-80.038608
519,PUERTO LOPEZ ,-1.555447,-80.80632
520,MACHALILLA ,-1.47651,-80.765179
521,GENERAL PROAÑO ,-2.303231,-78.116065
523,SEVILLA DON BOSCO ,-2.314286,-78.103455
524,SINAI ,-2.11667,-78.1667
525,CUCHAENTZA ,-2.16,-77.85
526,RIO BLANCO ,-2.346916,-78.152868
527,GUALAQUIZA ,-3.402673,-78.578138
528,BOMBOIZA ,-3.454607,-78.552311
529,INDANZA ,-3.057295,-78.454011
530,YUNGANZA ,-2.78333,-78.4
532,SANTIAGO DE MENDEZ ,-2.715713,-78.317865
533,PATUCA ,-2.752345,-78.260435
534,TAYUZA ,-2.7168,-78.252005
535,SAN FRANCISCO DE CHINIMBIMI ,-2.71,-78.19
536,SUCUA ,-2.458037,-78.171588
537,HUAMBI ,-2.569366,-78.171434
538,SANTA MARIANITA DE JESUS ,-2.453745,-78.171573
539,HUAMBOYA ,-1.946367,-77.990556
540,CHIGUAZA ,-1.946034,-77.9896
541,SAN JUAN BOSCO ,-3.103298,-78.520507
542,SANTIAGO DE PANANZA ,-3.16472,-78.4761
543,LOGROÑO ,-2.622866,-78.200634
544,SHIMPIS ,-2.75,-78.0833
545,PABLO SEXTO ,-1.68333,-78.4
546,SANTIAGO ,-2.71667,-78.3167
547,SAN JOSE DE MORONA ,-2.88222,-77.6689
550,CHONTAPUNTA ,-0.914753,-77.334621
564,CARLOS JULIO AROSEMENA TOLA ,-1.165779,-77.855902
565,PUYO ,-1.4878,-78.000333
566,CANELOS ,-1.589469,-77.746629
567,FATIMA ,-1.428182,-77.998837
568,POMONA ,-1.675911,-77.902525
569,SIMON BOLIVAR,-1.486588,-78.001576
570,TARQUI ,-3.015248,-79.035507
571,VERACRUZ ,-1.5,-77.9167
572,EL TRIUNFO ,-2.329832,-79.401884
573,MERA ,-1.461795,-78.109295
574,MADRE TIERRA ,-1.542076,-78.034892
575,SHELL ,-1.501264,-78.063054
576,SANTA CLARA ,-1.265208,-77.888465
577,ARAJUNO ,-1.233856,-77.687347
581,Gualea,0.116667,-78.7333
582,La Merced,-0.3,-78.4
585,Pintag,-0.371194,-78.373397
586,Puembo,-0.183333,-78.35
588,Yaruqui,-0.162167,-78.315121
590,Cangahua,-0.066667,-78.1667
591,Santa Rosa de Cuzubamba,-0.05,-78.2667
593,Uyumbicho,-0.38388,-78.521327
594,Tupigachi,0.083333,-78.1833
595,Mindo,-0.048835,-78.775531
599,Huachi Grande,-1.307528,-78.639053
601,Juan Benigno Vela,-1.28333,-78.6833
603,Pasa,-1.26667,-78.7333
604,Pilaguin,-1.28333,-78.7167
605,Quizapincha,-1.23333,-78.6833
606,San Bartolomé de Pillog ,-1.23333,-78.6333
607,Santa Rosa,-1.28333,-78.6667
608,Totoras,-1.3,-78.5833
609,Cunchibamba,-1.13333,-78.5833
610,Río Negro,-1.4,-78.2167
611,Cevallos,-1.35457,-78.61746
612,Mocha,-1.418765,-78.660071
613,Patate,-1.312773,-78.507164
614,Quero,-1.379804,-78.60765
618,Huambaló,-1.38333,-78.5333
619,Salasaca,-1.321418,-78.577512
621,Presidente Urbina,-1.15,-78.55
623,San Miguelito,-1.2,-78.5333
624,Tisaleo,-1.35,-78.6667
625,Cumbaratza,-3.994218,-78.865936
626,Guadalupe,-3.844197,-78.890129
627,Sabanilla,-3.95,-79.05
628,Timbara,-4.03472,-78.9053
629,San Carlos de Las Minas ,-4.06556,-78.8164
630,Zurmi,-4.102132,-78.665065
631,28 de Mayo,-3.63278,-78.9244
634,Chicaña,-3.72417,-78.7433
635,Los Encuentros,-3.760736,-78.64725
637,El Guisme,-3.556112,-78.565496
638,Pachicutza,-4.122224,-78.630207
639,NUEVO QUITO ,-3.981043,-78.650426
640,El Progreso,-0.902286,-89.555892
642,Isla Pinzon,-0.6,-90.6667
644,Dureno,0.044444,-76.6972
645,General Farfan,0.2475,-76.8744
646,El Eno,-0.066667,-76.8833
648,Jambelí,0.086944,-77.0861
649,Santa Cecilia,0.085,-76.9925
650,El Reventador,-0.045994,-77.529391
651,Gonzalo Pizarro,0.01626,-77.377969
652,Palma Roja,0.116667,-76.05
654,Limoncocha,-0.4,-76.6167
656,San Pedro de los Cofanes,-0.133333,-76.85
657,Siete de Julio,-0.185625,-76.781516
658,La Bonita,0.45,-77.5
659,Santa Barbara,0.616667,-77.5833
662,Sevilla,0.088056,-77.1667
663,Tarapoa,-0.133333,-76.4167
664,Aguas Negras,-0.2,-75.9333
666,Dayuma,-0.671439,-76.881664
667,Taracoa,-0.466603,-76.760877
668,El Dorado  ,-0.503007,-76.956378
670,Inés Arango,-0.470868,-76.983232
671,La Belleza,-0.742163,-77.129029
672,Nuevo Paraíso ,-0.383961,-77.001158
673,San José de Guayusa,-0.295192,-77.098125
674,San Luis de armenia,-0.533334,-77.083324
676,Enokanqui,-0.225622,-76.848121
677,Pompeya,-0.433333,-76.6167
678,San Carlos  ,-0.380253,-76.883382
679,San Sebastian del Coca,-0.333333,-77
680,Rumipamba,-0.083601,-76.985813
681,Tres de Nobiembre,-0.189258,-76.909807
682,Unien Milagreña,-0.432647,-76.660314
683,Avila,-0.633333,-77.4167
684,Puerto Murialdo,-0.691929,-77.135873
685,San José de Payamino,-0.500059,-77.283338
686,San José de Dahuano,-0.854591,-77.485228
687,San Vicente de Huaticocha,-0.735821,-77.550021
690,Puerto Limón,-0.366667,-79.3833
692,San Jacinto del Bua ,-0.146984,-79.3939
693,Valle Hermoso,-0.086976,-79.279907
694,El Esfuerzo,-0.416329,-79.276172
698,Manglaralto,-1.936444,-80.711864
699,Simón Bolívar,-2.184205,-80.35939